,CSP_TKE_RS,CSP_TKE_SH,CSP_TKE_BU,CSP_TKE_TR,CSP_TKE_DI,CSP_TKE_SGS,CSP_TKE,CSP_TKE_TEND,CSP_P
127,3.1955342e-06,1.09155684e-10,-1.22789015e-08,0.0,0.0,0.0,3.1955342e-06,-1.2060591e-08,68631.08
128,3.3311821e-06,2.6122884e-10,-1.2602875e-08,0.0,0.0,0.0,3.3311821e-06,-1.2080417e-08,68631.07
129,3.4784268e-06,4.4367318e-10,-1.2719614e-08,0.0,0.0,0.0,3.4784268e-06,-1.1832267e-08,68631.055
130,3.6290307e-06,4.9870713e-10,-1.24328725e-08,0.0,0.0,0.0,3.6290307e-06,-1.1435459e-08,68631.04
131,3.764746e-06,3.593179e-10,-1.1909753e-08,0.0,0.0,0.0,3.764746e-06,-1.1191117e-08,68631.02
132,3.872565e-06,8.54561e-11,-1.1677651e-08,0.0,0.0,0.0,3.872565e-06,-1.1506739e-08,68631.016
133,3.9551924e-06,-1.8115706e-10,-1.2286138e-08,0.0,0.0,0.0,3.9551924e-06,-1.2648453e-08,68631.0
134,4.022326e-06,-3.1758263e-10,-1.3394348e-08,0.0,0.0,0.0,4.022326e-06,-1.4029513e-08,68630.99
135,4.077287e-06,-2.9534358e-10,-1.4335726e-08,0.0,0.0,0.0,4.077287e-06,-1.4926414e-08,68630.98
136,4.110371e-06,-1.9373927e-10,-1.4568023e-08,0.0,0.0,0.0,4.110371e-06,-1.4955502e-08,68630.96
137,4.111995e-06,-1.4893277e-10,-1.344366e-08,0.0,0.0,0.0,4.111995e-06,-1.3741525e-08,68630.95
138,4.076406e-06,-2.5117775e-10,-1.1782206e-08,0.0,0.0,0.0,4.076406e-06,-1.2284562e-08,68630.94
139,4.019501e-06,-4.833895e-10,-1.044802e-08,0.0,0.0,0.0,4.019501e-06,-1.1414799e-08,68630.92
140,3.9744086e-06,-6.958687e-10,-1.1146902e-08,0.0,0.0,0.0,3.9744086e-06,-1.2538639e-08,68630.91
141,3.945024e-06,-7.172828e-10,-1.406825e-08,0.0,0.0,0.0,3.945024e-06,-1.5502815e-08,68630.89
142,3.92186e-06,-5.9896205e-10,-1.6771953e-08,0.0,0.0,0.0,3.92186e-06,-1.7969878e-08,68630.88
143,3.88442e-06,-5.1574467e-10,-1.7426647e-08,0.0,0.0,0.0,3.88442e-06,-1.8458135e-08,68630.87
144,3.8223375e-06,-6.1681193e-10,-1.569984e-08,0.0,0.0,0.0,3.8223375e-06,-1.6933463e-08,68630.85
145,3.754788e-06,-8.3769436e-10,-1.3941029e-08,0.0,0.0,0.0,3.754788e-06,-1.5616418e-08,68630.836
146,3.742399e-06,-9.078632e-10,-1.3382419e-08,0.0,0.0,0.0,3.742399e-06,-1.5198145e-08,68630.82
147,3.8656326e-06,-6.065009e-10,-1.3996814e-08,0.0,0.0,0.0,3.8656326e-06,-1.5209816e-08,68630.81
148,4.1644744e-06,4.3504512e-11,-1.5392095e-08,0.0,0.0,0.0,4.1644744e-06,-1.5305085e-08,68630.8
149,4.590885e-06,6.861556e-10,-1.5991912e-08,0.0,0.0,0.0,4.590885e-06,-1.46196015e-08,68630.79
150,5.0236576e-06,8.124466e-10,-1.5139985e-08,0.0,0.0,0.0,5.0236576e-06,-1.3515091e-08,68630.77
151,5.3280173e-06,1.3128204e-10,-1.33986475e-08,0.0,0.0,0.0,5.3280173e-06,-1.3136084e-08,68630.76
152,5.469229e-06,-1.1747332e-09,-1.1332568e-08,0.0,0.0,0.0,5.469229e-06,-1.3682034e-08,68630.75
153,5.529938e-06,-2.5817128e-09,-1.017543e-08,0.0,0.0,0.0,5.529938e-06,-1.5338856e-08,68630.734
154,5.647143e-06,-3.6155487e-09,-1.0843704e-08,0.0,0.0,0.0,5.647143e-06,-1.80748e-08,68630.73
155,5.9136637e-06,-4.140718e-09,-1.21442065e-08,0.0,0.0,0.0,5.9136637e-06,-2.0425643e-08,68630.71
156,6.3204034e-06,-4.2937476e-09,-1.2918982e-08,0.0,0.0,0.0,6.3204034e-06,-2.1506478e-08,68630.7
157,6.7356345e-06,-4.2231427e-09,-1.4617712e-08,0.0,0.0,0.0,6.7356345e-06,-2.3063997e-08,68630.695
158,7.000837e-06,-4.0511368e-09,-1.6927604e-08,0.0,0.0,0.0,7.000837e-06,-2.5029877e-08,68630.68
159,7.107826e-06,-3.8958614e-09,-1.7868045e-08,0.0,0.0,0.0,7.107826e-06,-2.5659768e-08,68630.67
160,7.190931e-06,-3.802892e-09,-1.8821762e-08,0.0,0.0,0.0,7.190931e-06,-2.6427546e-08,68630.664
161,7.398742e-06,-3.8207406e-09,-2.1279371e-08,0.0,0.0,0.0,7.398742e-06,-2.8920853e-08,68630.65
162,7.784563e-06,-4.0895416e-09,-2.1359948e-08,0.0,0.0,0.0,7.784563e-06,-2.953903e-08,68630.64
163,8.29198e-06,-4.7750275e-09,-1.6661668e-08,0.0,0.0,0.0,8.29198e-06,-2.6211723e-08,68630.63
164,8.8160405e-06,-5.9218626e-09,-8.702332e-09,0.0,0.0,0.0,8.8160405e-06,-2.0546057e-08,68630.625
165,9.300215e-06,-7.2794997e-09,-4.646526e-09,0.0,0.0,0.0,9.300215e-06,-1.9205526e-08,68630.62
166,9.714134e-06,-8.235052e-09,-9.603727e-09,0.0,0.0,0.0,9.714134e-06,-2.6073831e-08,68630.6
167,1.0145277e-05,-8.20437e-09,-1.7875799e-08,0.0,0.0,0.0,1.0145277e-05,-3.428454e-08,68630.59
168,1.0777115e-05,-6.8785146e-09,-2.6945024e-08,0.0,0.0,0.0,1.0777115e-05,-4.0702055e-08,68630.586
